antiguedad_meses,monto_mensual,soporte_tecnico_clicks,tipo_contrato,metodo_pago,gasto_por_mes,indice_insatisfaccion,score_fidelidad,churn,antiguedad_meses_norm,monto_mensual_norm,soporte_tecnico_clicks_norm
59,380.96,33.0,Mensual,Tarjeta de Crédito,6.3493,49.5,31.4,1,0.4874,0.752,0.66
51,45.79,12.0,Mensual,Pago Manual,0.8806,18.0,32.1,0,0.4202,0.0535,0.24
31,253.94,1.0,Anual,Tarjeta de Crédito,7.9356,1.0,21.4,0,0.2521,0.4873,0.02
113,259.28,36.0,Mensual,Tarjeta de Crédito,3.4096,54.0,68.3,1,0.9412,0.4984,0.72
69,94.35,43.0,Mensual,Débito Automático,1.3479,64.5,35.4,0,0.5714,0.1547,0.86
62,215.94,22.0,Anual,Débito Automático,3.4276,22.0,36.8,1,0.5126,0.4081,0.44
39,361.56,2.0,Mensual,Tarjeta de Crédito,9.039,3.0,26.7,1,0.3193,0.7116,0.04
3,382.52,15.0,Mensual,Pago Manual,95.63,22.5,-2.4,1,0.0168,0.7553,0.3
2,198.5,13.0,Mensual,Tarjeta de Crédito,66.1667,19.5,-2.5,0,0.0084,0.3718,0.26
83,313.18,19.0,Mensual,Débito Automático,3.7283,28.5,52.4,0,0.6891,0.6108,0.38
92,133.74,14.0,Anual,Tarjeta de Crédito,1.4381,14.0,60.2,0,0.7647,0.2368,0.28
108,435.71,43.0,Anual,Tarjeta de Crédito,3.9973,43.0,62.7,0,0.8992,0.8661,0.86
62,476.87,25.0,Anual,Tarjeta de Crédito,7.5694,46.0,29.6,1,0.5126,0.9519,0.5
108,318.29,34.0,Anual,Débito Automático,2.9201,34.0,65.4,0,0.8992,0.6214,0.68
62,451.11,0.0,Mensual,Pago Manual,7.1605,0.0,43.4,1,0.5126,0.8982,0.0
40,257.23,14.0,Anual,Pago Manual,6.2739,14.0,23.8,1,0.3277,0.4942,0.28
82,156.95,47.0,Anual,Débito Automático,1.891,47.0,43.3,1,0.6807,0.2852,0.94
75,87.94,1.0,Mensual,Tarjeta de Crédito,1.1571,1.5,52.2,1,0.6218,0.1414,0.02
80,108.28,46.0,Bianual,Débito Automático,1.3368,46.0,42.2,0,0.6639,0.1838,0.92
89,440.05,38.0,Anual,Tarjeta de Crédito,4.8894,38.0,50.9,1,0.7395,0.8752,0.76
89,354.51,47.0,Bianual,Débito Automático,3.939,47.0,48.2,1,0.7395,0.6969,0.94
64,262.37,25.0,Mensual,Tarjeta de Crédito,4.0365,3.0,44.2,1,0.5294,0.5049,0.5
113,334.05,25.0,Mensual,Pago Manual,2.9303,36.0,68.3,1,0.9412,0.6543,0.5
84,137.51,18.0,Anual,Débito Automático,1.6178,18.0,53.4,1,0.6975,0.2447,0.36
111,86.37,19.0,Bianual,Tarjeta de Crédito,0.7712,19.0,72.0,0,0.9244,0.1381,0.38
77,136.61,27.0,Mensual,Tarjeta de Crédito,1.7514,40.5,45.8,1,0.6387,0.2428,0.54
85,490.76,2.0,Anual,Pago Manual,5.7065,2.0,58.9,0,0.7059,0.9808,0.04
104,286.38,46.0,Anual,Tarjeta de Crédito,2.7274,46.0,59.0,1,0.8655,0.5549,0.92
15,228.68,7.0,Mensual,Tarjeta de Crédito,14.2925,10.5,8.4,1,0.1176,0.4347,0.14
23,306.23,1.0,Mensual,Tarjeta de Crédito,12.7596,1.5,15.8,1,0.1849,0.5963,0.02
84,66.36,4.0,Anual,Débito Automático,0.7807,4.0,57.6,0,0.6975,0.0964,0.08
39,99.24,39.0,Mensual,Débito Automático,2.481,58.5,15.6,1,0.3193,0.1649,0.78
47,230.87,26.0,Bianual,Débito Automático,4.8098,26.0,25.1,0,0.3866,0.4392,0.52
59,282.27,36.0,Anual,Pago Manual,4.7045,36.0,30.5,0,0.4874,0.5464,0.72
118,75.55,32.0,Bianual,Pago Manual,0.6349,32.0,73.0,1,0.9832,0.1156,0.64
72,121.71,46.0,Mensual,Débito Automático,1.6673,69.0,36.6,0,0.5966,0.2118,0.92
107,394.86,42.0,Mensual,Débito Automático,3.6561,63.0,62.3,1,0.8908,0.781,0.84
73,110.34,27.0,Anual,Pago Manual,1.4911,27.0,43.0,0,0.605,0.1881,0.54
49,399.74,4.0,Anual,Pago Manual,7.9948,4.0,33.1,0,0.4034,0.7912,0.08
80,302.25,1.0,Anual,Pago Manual,3.7315,1.0,55.7,0,0.6639,0.588,0.02
4,21.06,21.0,Mensual,Tarjeta de Crédito,4.212,31.5,-3.5,0,0.0252,0.002,0.42
101,259.28,10.0,Anual,Pago Manual,4.1028,10.0,67.7,0,0.8403,0.4984,0.2
72,89.28,45.0,Mensual,Tarjeta de Crédito,1.223,67.5,36.9,0,0.5966,0.1442,0.9
84,262.35,22.0,Mensual,Pago Manual,3.0865,33.0,52.2,0,0.6975,0.5048,0.44
75,63.21,18.0,Mensual,Débito Automático,0.8317,27.0,47.1,0,0.6218,0.0898,0.36
52,323.01,27.0,Mensual,Tarjeta de Crédito,6.0945,40.5,28.3,1,0.4286,0.6313,0.54
14,395.19,30.0,Anual,Débito Automático,26.346,30.0,0.8,0,0.1092,0.7817,0.6
9,259.28,38.0,Anual,Débito Automático,43.286,38.0,-5.1,0,0.0672,0.4984,0.76
79,279.04,4.0,Bianual,Pago Manual,3.488,4.0,54.1,1,0.6555,0.5396,0.08
42,116.65,34.0,Bianual,Débito Automático,2.7128,34.0,19.2,0,0.3445,0.2012,0.68
108,30.82,26.0,Mensual,Débito Automático,0.2828,39.0,67.8,1,0.8992,0.0223,0.52
70,408.59,13.0,Anual,Débito Automático,5.7548,13.0,45.1,1,0.5798,0.8096,0.26
1,235.49,2.0,Anual,Débito Automático,117.745,2.0,0.1,1,0.0,0.4489,0.04
83,119.02,50.0,Mensual,Débito Automático,1.4169,75.0,43.1,1,0.6891,0.2061,1.0
49,205.82,50.0,Anual,Tarjeta de Crédito,4.1164,50.0,19.3,1,0.4034,0.387,1.0
11,68.87,20.0,Mensual,Débito Automático,5.7392,20.0,1.7,0,0.084,0.1016,0.4
24,259.28,26.0,Mensual,Tarjeta de Crédito,19.8916,39.0,9.0,1,0.1933,0.4984,0.52
120,300.87,1.0,Bianual,Débito Automático,2.4865,1.0,83.7,0,1.0,0.5851,0.02
19,360.13,25.0,Mensual,Pago Manual,18.0065,63.0,0.7,1,0.1513,0.7086,0.5
102,372.04,33.0,Mensual,Débito Automático,3.612,49.5,61.5,1,0.8487,0.7334,0.66
41,385.39,34.0,Mensual,Débito Automático,9.176,51.0,18.5,1,0.3361,0.7613,0.68
29,472.16,47.0,Bianual,Débito Automático,15.7387,47.0,6.2,1,0.2353,0.9421,0.94
94,259.28,35.0,Mensual,Débito Automático,3.1502,52.5,55.3,1,0.7815,0.4984,0.7
66,233.75,13.0,Bianual,Tarjeta de Crédito,3.4888,13.0,42.3,0,0.5462,0.4452,0.26
25,138.27,18.0,Bianual,Débito Automático,5.3181,18.0,12.1,0,0.2017,0.2463,0.36
20,330.62,14.0,Anual,Pago Manual,15.7438,14.0,9.8,0,0.1597,0.6471,0.28
85,488.96,13.0,Bianual,Débito Automático,5.6856,13.0,55.6,1,0.7059,0.9771,0.26
8,231.5,23.0,Anual,Pago Manual,25.7222,23.0,-1.3,1,0.0588,0.4406,0.46
119,418.85,25.0,Anual,Débito Automático,3.4904,25.0,75.8,0,0.9916,0.831,0.5
67,410.27,8.0,Mensual,Tarjeta de Crédito,6.0334,12.0,44.5,1,0.5546,0.8131,0.16
18,395.75,48.0,Mensual,Débito Automático,20.8289,72.0,-1.8,0,0.1429,0.7828,0.96
94,484.16,15.0,Anual,Débito Automático,5.0964,15.0,61.3,0,0.7815,0.9671,0.3
98,474.21,34.0,Mensual,Tarjeta de Crédito,4.79,51.0,58.4,0,0.8151,0.9464,0.68
109,75.3,29.0,Mensual,Débito Automático,0.6845,43.5,67.6,1,0.9076,0.115,0.58
59,339.42,48.0,Mensual,Débito Automático,5.657,72.0,26.9,1,0.4874,0.6655,0.96
54,91.27,12.0,Mensual,Pago Manual,1.6595,18.0,34.2,1,0.4454,0.1483,0.24
96,443.55,46.0,Bianual,Pago Manual,4.5727,46.0,53.4,0,0.7983,0.8825,0.92
56,41.86,47.0,Mensual,Pago Manual,0.7344,70.5,25.1,1,0.4622,0.0453,0.94
104,258.81,42.0,Anual,Tarjeta de Crédito,2.4649,42.0,60.2,1,0.8655,0.4975,0.84
65,346.48,7.0,Mensual,Pago Manual,5.2497,10.5,43.4,1,0.5378,0.6802,0.14
102,360.59,49.0,Mensual,Débito Automático,3.5009,73.5,56.7,0,0.8487,0.7096,0.98
78,21.79,33.0,Mensual,Débito Automático,0.2758,49.5,44.7,0,0.6471,0.0035,0.66
62,191.18,0.0,Anual,Tarjeta de Crédito,3.0346,0.0,43.4,0,0.5126,0.3565,0.0
49,136.65,25.0,Mensual,Débito Automático,2.733,72.0,19.9,1,0.4034,0.2429,0.5
16,96.47,22.0,Mensual,Pago Manual,5.6747,33.0,4.6,1,0.1261,0.1592,0.44
62,323.82,49.0,Anual,Débito Automático,5.14,49.0,28.7,0,0.5126,0.6329,0.98
40,37.08,13.0,Anual,Tarjeta de Crédito,0.9044,13.0,24.1,1,0.3277,0.0354,0.26
103,58.66,45.0,Mensual,Débito Automático,0.564,67.5,58.6,1,0.8571,0.0804,0.9
66,235.86,21.0,Bianual,Tarjeta de Crédito,3.5203,21.0,39.9,1,0.5462,0.4496,0.42
41,57.69,32.0,Bianual,Tarjeta de Crédito,1.3736,32.0,19.1,0,0.3361,0.0783,0.64
68,235.8,5.0,Mensual,Pago Manual,3.4174,7.5,46.1,0,0.563,0.4495,0.1
28,353.9,12.0,Anual,Tarjeta de Crédito,12.2034,12.0,16.0,0,0.2269,0.6956,0.24
51,271.95,20.0,Bianual,Débito Automático,5.2298,20.0,29.7,0,0.4202,0.5249,0.4
82,477.91,8.0,Anual,Pago Manual,5.758,8.0,55.0,1,0.6807,0.9541,0.16
55,308.3,17.0,Mensual,Tarjeta de Crédito,5.5054,25.5,33.4,1,0.4538,0.6006,0.34
38,259.28,6.0,Anual,Tarjeta de Crédito,7.849,6.0,24.8,1,0.3109,0.4984,0.12
115,407.05,42.0,Mensual,Débito Automático,3.5091,63.0,67.9,1,0.958,0.8064,0.84
97,130.01,42.0,Bianual,Débito Automático,1.3266,42.0,55.3,0,0.8067,0.2291,0.84
35,478.88,8.0,Mensual,Débito Automático,13.3022,12.0,22.1,1,0.2857,0.9561,0.16
76,48.98,14.0,Mensual,Débito Automático,0.6361,21.0,49.0,1,0.6303,0.0602,0.28
74,24.42,5.0,Mensual,Tarjeta de Crédito,0.3256,7.5,50.3,1,0.6134,0.009,0.1
95,422.84,6.0,Mensual,Pago Manual,4.4046,9.0,64.7,0,0.7899,0.8393,0.12
23,272.24,30.0,Mensual,Tarjeta de Crédito,11.3433,45.0,7.1,1,0.1849,0.5255,0.6
76,256.86,30.0,Bianual,Tarjeta de Crédito,3.3358,30.0,44.2,0,0.6303,0.4934,0.6
86,36.83,35.0,Mensual,Débito Automático,0.4233,52.5,49.7,1,0.7143,0.0349,0.7
14,271.78,30.0,Anual,Débito Automático,18.1187,30.0,0.8,1,0.1092,0.5245,0.6
90,113.2,16.0,Mensual,Débito Automático,1.244,24.0,58.2,1,0.7479,0.194,0.32
91,313.58,13.0,Bianual,Tarjeta de Crédito,3.4085,13.0,59.8,1,0.7563,0.6116,0.26
98,356.61,45.0,Mensual,Pago Manual,3.6021,67.5,55.1,0,0.8151,0.7013,0.9
10,257.33,45.0,Bianual,Débito Automático,23.3936,45.0,-6.5,0,0.0756,0.4944,0.9
49,197.12,26.0,Bianual,Débito Automático,3.9424,26.0,26.5,1,0.4034,0.3689,0.52
38,259.28,28.0,Anual,Débito Automático,9.1405,28.0,18.2,0,0.3109,0.4984,0.56
120,76.76,8.0,Mensual,Débito Automático,0.6344,12.0,81.6,1,1.0,0.1181,0.16
120,167.65,34.0,Anual,Tarjeta de Crédito,1.3855,34.0,73.8,1,1.0,0.3075,0.68
40,253.12,49.0,Mensual,Pago Manual,6.1737,73.5,13.3,1,0.3277,0.4856,0.98
77,379.23,21.0,Anual,Pago Manual,4.8619,21.0,47.6,0,0.6387,0.7484,0.42
101,259.28,9.0,Mensual,Pago Manual,3.3282,13.5,68.0,0,0.8403,0.4984,0.18
32,223.01,36.0,Mensual,Débito Automático,6.7579,54.0,11.6,1,0.2605,0.4229,0.72
23,342.9,36.0,Bianual,Tarjeta de Crédito,14.2875,36.0,5.3,1,0.1849,0.6727,0.72
40,256.28,3.0,Mensual,Débito Automático,6.2507,4.5,27.1,1,0.3277,0.4922,0.06
1,410.9,37.0,Mensual,Débito Automático,205.45,55.5,-10.4,1,0.0,0.8144,0.74
77,236.02,47.0,Anual,Débito Automático,3.0259,47.0,39.8,1,0.6387,0.45,0.94
58,192.7,46.0,Mensual,Débito Automático,3.2661,69.0,26.8,0,0.479,0.3597,0.92
120,93.64,32.0,Mensual,Débito Automático,0.7739,48.0,74.4,1,1.0,0.1533,0.64
102,474.6,49.0,Mensual,Tarjeta de Crédito,4.6078,73.5,56.7,0,0.8487,0.9472,0.98
53,412.25,46.0,Mensual,Tarjeta de Crédito,7.6343,69.0,23.3,1,0.437,0.8172,0.92
50,168.45,6.0,Bianual,Tarjeta de Crédito,3.3029,6.0,33.2,1,0.4118,0.3092,0.12
110,278.45,22.0,Bianual,Tarjeta de Crédito,2.5086,22.0,70.4,1,0.916,0.5384,0.44
71,133.38,32.0,Mensual,Débito Automático,1.8525,48.0,40.1,1,0.5882,0.2361,0.64
98,446.42,40.0,Mensual,Débito Automático,4.5093,60.0,56.6,1,0.8151,0.8884,0.8
100,443.54,29.0,Bianual,Tarjeta de Crédito,4.3915,29.0,61.3,1,0.8319,0.8824,0.58
86,73.48,3.0,Mensual,Débito Automático,0.8446,4.5,59.3,1,0.7143,0.1112,0.06
118,22.36,18.0,Bianual,Pago Manual,0.1879,18.0,77.2,0,0.9832,0.0047,0.36
114,236.2,2.0,Mensual,Pago Manual,2.0539,3.0,79.2,0,0.9496,0.4503,0.04
88,430.72,46.0,Mensual,Débito Automático,4.8396,69.0,47.8,1,0.7311,0.8557,0.92
13,383.97,0.0,Mensual,Débito Automático,27.4264,0.0,9.1,1,0.1008,0.7583,0.0
96,252.81,26.0,Bianual,Tarjeta de Crédito,2.6063,26.0,59.4,1,0.7983,0.485,0.52
22,416.16,27.0,Mensual,Tarjeta de Crédito,18.0939,40.5,7.3,1,0.1765,0.8254,0.54
104,443.95,35.0,Anual,Débito Automático,4.2281,35.0,62.3,1,0.8655,0.8833,0.7
46,119.96,31.0,Anual,Pago Manual,2.5523,31.0,22.9,1,0.3782,0.2081,0.62
2,278.63,25.0,Anual,Tarjeta de Crédito,92.8767,38.0,-10.0,0,0.0084,0.5388,0.5
48,274.48,15.0,Anual,Tarjeta de Crédito,5.6016,15.0,29.1,0,0.395,0.5301,0.3
24,466.94,35.0,Anual,Tarjeta de Crédito,18.6776,35.0,6.3,1,0.1933,0.9312,0.7
49,325.01,45.0,Mensual,Débito Automático,6.5002,67.5,20.8,1,0.4034,0.6354,0.9
35,272.26,3.0,Mensual,Tarjeta de Crédito,7.5628,4.5,23.6,1,0.2857,0.5255,0.06
45,331.39,33.0,Mensual,Tarjeta de Crédito,7.2041,49.5,21.6,1,0.3697,0.6487,0.66
20,367.14,42.0,Mensual,Tarjeta de Crédito,17.4829,63.0,1.4,1,0.1597,0.7232,0.84
106,488.04,43.0,Mensual,Tarjeta de Crédito,4.5611,64.5,61.3,0,0.8824,0.9752,0.86
113,100.08,5.0,Mensual,Débito Automático,0.8779,7.5,77.6,1,0.9412,0.1667,0.1
48,312.84,35.0,Anual,Pago Manual,6.3845,35.0,23.1,1,0.395,0.6101,0.7
102,165.08,46.0,Mensual,Débito Automático,1.6027,69.0,57.6,1,0.8487,0.3021,0.92
66,258.89,48.0,Anual,Débito Automático,3.864,48.0,31.8,1,0.5462,0.4976,0.96
13,175.99,48.0,Mensual,Pago Manual,12.5707,72.0,-5.3,0,0.1008,0.3249,0.96
45,209.07,28.0,Mensual,Pago Manual,4.545,28.0,23.1,1,0.3697,0.3938,0.56
90,344.37,42.0,Mensual,Pago Manual,3.7843,63.0,50.4,1,0.7479,0.6758,0.84
73,354.11,44.0,Anual,Pago Manual,4.7853,44.0,37.9,0,0.605,0.6961,0.88
75,262.82,14.0,Anual,Pago Manual,3.4582,14.0,48.3,0,0.6218,0.5058,0.28
120,248.29,14.0,Mensual,Pago Manual,2.052,21.0,79.8,0,1.0,0.4755,0.28
51,479.72,15.0,Anual,Pago Manual,9.2254,15.0,31.2,0,0.4202,0.9578,0.3
53,85.37,25.0,Anual,Débito Automático,1.5809,3.0,36.2,0,0.437,0.136,0.5
90,164.58,28.0,Anual,Débito Automático,1.8086,28.0,54.6,1,0.7479,0.3011,0.56
40,96.7,12.0,Mensual,Tarjeta de Crédito,2.3585,18.0,24.4,0,0.3277,0.1596,0.24
34,257.42,17.0,Bianual,Débito Automático,7.3549,17.0,18.7,0,0.2773,0.4946,0.34
30,141.93,13.0,Bianual,Tarjeta de Crédito,4.5784,13.0,17.1,1,0.2437,0.2539,0.26
106,361.46,29.0,Mensual,Débito Automático,3.3781,43.5,65.5,1,0.8824,0.7114,0.58
116,121.61,36.0,Mensual,Débito Automático,1.0394,54.0,70.4,1,0.9664,0.2115,0.72
40,29.58,2.0,Mensual,Débito Automático,0.7215,3.0,27.4,1,0.3277,0.0198,0.04
66,477.35,12.0,Mensual,Débito Automático,7.1246,18.0,42.6,1,0.5462,0.9529,0.24
33,293.45,21.0,Anual,Débito Automático,8.6309,21.0,16.8,0,0.2689,0.5697,0.42
111,70.85,45.0,Mensual,Pago Manual,0.6326,67.5,64.2,1,0.9244,0.1058,0.9
78,209.48,15.0,Mensual,Pago Manual,2.6516,22.5,50.1,0,0.6471,0.3947,0.3
93,168.69,7.0,Anual,Pago Manual,1.7946,7.0,63.0,0,0.7731,0.3097,0.14
62,159.78,19.0,Anual,Débito Automático,2.5362,19.0,37.7,1,0.5126,0.2911,0.38
52,23.34,28.0,Mensual,Tarjeta de Crédito,0.4404,42.0,28.0,1,0.4286,0.0068,0.56
38,275.59,40.0,Mensual,Débito Automático,7.0664,60.0,14.6,0,0.3109,0.5324,0.8
86,55.56,36.0,Anual,Tarjeta de Crédito,0.6386,36.0,49.4,1,0.7143,0.0739,0.72
44,248.7,34.0,Mensual,Tarjeta de Crédito,5.5267,51.0,20.6,1,0.3613,0.4764,0.68
35,23.14,18.0,Bianual,Tarjeta de Crédito,0.6428,18.0,19.1,0,0.2857,0.0063,0.36
108,394.97,10.0,Anual,Tarjeta de Crédito,3.6236,10.0,72.6,0,0.8992,0.7812,0.2
92,360.5,18.0,Bianual,Tarjeta de Crédito,3.8763,18.0,59.0,1,0.7647,0.7094,0.36
8,87.36,15.0,Bianual,Pago Manual,9.7067,15.0,1.1,1,0.0588,0.1402,0.3
48,329.69,10.0,Mensual,Tarjeta de Crédito,6.7284,15.0,30.6,0,0.395,0.6452,0.2
57,273.16,33.0,Bianual,Pago Manual,4.7097,33.0,30.0,1,0.4706,0.5274,0.66
87,106.31,3.0,Mensual,Tarjeta de Crédito,1.2081,4.5,60.0,1,0.7227,0.1797,0.06
69,258.09,49.0,Mensual,Débito Automático,3.687,73.5,33.6,1,0.5714,0.496,0.98
105,349.94,5.0,Anual,Débito Automático,3.3013,5.0,72.0,0,0.8739,0.6874,0.1
107,133.51,31.0,Mensual,Débito Automático,1.2362,46.5,65.6,1,0.8908,0.2363,0.62
116,441.92,5.0,Anual,Pago Manual,3.7771,5.0,79.7,1,0.9664,0.8791,0.1
58,109.65,41.0,Anual,Pago Manual,1.8585,41.0,28.3,1,0.479,0.1866,0.82
64,157.56,4.0,Mensual,Débito Automático,2.424,6.0,43.6,0,0.5294,0.2865,0.08
37,240.97,18.0,Bianual,Pago Manual,6.3413,18.0,20.5,0,0.3025,0.4603,0.36
69,315.31,13.0,Bianual,Débito Automático,4.5044,13.0,44.4,0,0.5714,0.6152,0.26
108,309.27,21.0,Mensual,Tarjeta de Crédito,2.8373,31.5,69.3,1,0.8992,0.6026,0.42
41,259.28,25.0,Mensual,Tarjeta de Crédito,10.3767,7.5,27.2,0,0.3361,0.4984,0.5
111,391.93,38.0,Mensual,Pago Manual,3.4994,57.0,66.3,0,0.9244,0.7749,0.76
32,491.69,35.0,Anual,Pago Manual,14.8997,35.0,11.9,1,0.2605,0.9828,0.7
115,292.49,39.0,Mensual,Pago Manual,2.5215,58.5,68.8,0,0.958,0.5677,0.78
9,194.12,20.0,Bianual,Tarjeta de Crédito,19.412,20.0,0.3,1,0.0672,0.3627,0.4
9,96.82,46.0,Mensual,Tarjeta de Crédito,9.682,69.0,-7.5,1,0.0672,0.1599,0.92
93,374.85,17.0,Mensual,Pago Manual,3.9878,25.5,60.0,0,0.7731,0.7393,0.34
109,322.38,4.0,Mensual,Débito Automático,2.9307,6.0,75.1,0,0.9076,0.6299,0.08
55,357.55,44.0,Mensual,Débito Automático,6.3848,66.0,25.3,0,0.4538,0.7032,0.88
54,297.57,27.0,Mensual,Tarjeta de Crédito,5.4104,40.5,29.7,0,0.4454,0.5782,0.54
69,431.14,17.0,Bianual,Pago Manual,6.1591,17.0,43.2,1,0.5714,0.8566,0.34
40,323.62,23.0,Mensual,Pago Manual,7.8932,34.5,21.1,0,0.3277,0.6325,0.46
25,439.64,10.0,Anual,Pago Manual,16.9092,10.0,14.5,0,0.2017,0.8743,0.2
91,302.91,27.0,Anual,Tarjeta de Crédito,3.2925,27.0,55.6,1,0.7563,0.5894,0.54
66,79.64,40.0,Mensual,Débito Automático,1.1887,60.0,34.2,1,0.5462,0.1241,0.8
85,257.59,34.0,Bianual,Débito Automático,2.9952,34.0,49.3,1,0.7059,0.4949,0.68
52,66.78,14.0,Mensual,Débito Automático,1.26,21.0,32.2,0,0.4286,0.0973,0.28
5,390.18,21.0,Mensual,Débito Automático,65.03,21.0,-2.8,0,0.0336,0.7712,0.42
59,306.82,9.0,Anual,Débito Automático,5.1137,9.0,38.6,1,0.4874,0.5975,0.18
79,178.72,37.0,Mensual,Tarjeta de Crédito,2.234,55.5,44.2,1,0.6555,0.3306,0.74
65,171.15,18.0,Anual,Pago Manual,2.5932,18.0,40.1,1,0.5378,0.3148,0.36
82,198.3,34.0,Mensual,Débito Automático,2.3892,51.0,47.2,0,0.6807,0.3714,0.68
95,363.87,5.0,Mensual,Débito Automático,3.7903,7.5,65.0,0,0.7899,0.7164,0.1
106,113.98,41.0,Mensual,Débito Automático,1.0652,61.5,61.9,0,0.8824,0.1956,0.82
64,259.28,32.0,Mensual,Tarjeta de Crédito,4.5669,48.0,35.2,1,0.5294,0.4984,0.64
85,357.78,10.0,Mensual,Tarjeta de Crédito,4.1602,15.0,56.5,0,0.7059,0.7037,0.2
19,470.78,40.0,Bianual,Pago Manual,23.539,40.0,1.3,1,0.1513,0.9392,0.8
8,259.28,8.0,Bianual,Débito Automático,21.63,8.0,3.2,1,0.0588,0.4984,0.16
5,208.53,14.0,Mensual,Débito Automático,34.755,21.0,-0.7,1,0.0336,0.3927,0.28
77,249.81,40.0,Bianual,Tarjeta de Crédito,3.2027,40.0,41.9,0,0.6387,0.4787,0.8
48,175.76,29.0,Mensual,Débito Automático,3.5869,43.5,24.9,1,0.395,0.3244,0.58
116,440.62,16.0,Mensual,Pago Manual,3.766,24.0,76.4,0,0.9664,0.8764,0.32
81,383.51,30.0,Mensual,Débito Automático,4.677,30.0,47.7,0,0.6723,0.7573,0.6
53,26.92,16.0,Mensual,Pago Manual,0.4985,24.0,32.3,0,0.437,0.0142,0.32
104,212.25,18.0,Mensual,Tarjeta de Crédito,2.0214,27.0,67.4,0,0.8655,0.4004,0.36
38,233.7,27.0,Mensual,Pago Manual,5.9923,40.5,18.5,0,0.3109,0.4451,0.54
62,132.62,38.0,Mensual,Tarjeta de Crédito,2.1051,57.0,32.0,0,0.5126,0.2345,0.76
4,483.15,7.0,Anual,Tarjeta de Crédito,96.63,7.0,0.7,0,0.0252,0.965,0.14
25,140.62,44.0,Mensual,Pago Manual,5.4085,66.0,4.3,0,0.2017,0.2512,0.88
71,319.25,3.0,Mensual,Tarjeta de Crédito,4.434,4.5,48.8,1,0.5882,0.6234,0.06
73,211.21,8.0,Anual,Débito Automático,2.8542,8.0,48.7,0,0.605,0.3983,0.16
18,384.84,21.0,Mensual,Tarjeta de Crédito,20.2547,31.5,6.3,1,0.1429,0.7601,0.42
102,140.55,24.0,Bianual,Pago Manual,1.3646,24.0,64.2,0,0.8487,0.251,0.48
27,240.36,29.0,Mensual,Tarjeta de Crédito,8.5843,43.5,10.2,1,0.2185,0.459,0.58
103,259.28,39.0,Anual,Débito Automático,4.3171,39.0,60.4,1,0.8571,0.4984,0.78
101,259.28,28.0,Anual,Tarjeta de Crédito,4.6288,28.0,62.3,0,0.8403,0.4984,0.56
56,114.17,0.0,Mensual,Débito Automático,2.003,0.0,39.2,0,0.4622,0.196,0.0
93,259.28,20.0,Bianual,Tarjeta de Crédito,3.4162,20.0,59.1,1,0.7731,0.4984,0.4
29,151.75,40.0,Anual,Débito Automático,5.0583,40.0,8.3,0,0.2353,0.2744,0.8
10,294.99,15.0,Mensual,Tarjeta de Crédito,26.8173,22.5,2.5,0,0.0756,0.5729,0.3
109,20.22,46.0,Mensual,Pago Manual,0.1838,69.0,62.5,0,0.9076,0.0003,0.92
16,47.48,13.0,Anual,Tarjeta de Crédito,2.7929,13.0,7.3,1,0.1261,0.0571,0.26
8,22.99,13.0,Mensual,Tarjeta de Crédito,2.5544,19.5,1.7,0,0.0588,0.006,0.26
41,208.3,38.0,Mensual,Tarjeta de Crédito,4.9595,57.0,17.3,0,0.3361,0.3922,0.76
120,368.33,44.0,Anual,Débito Automático,3.044,44.0,70.8,0,1.0,0.7257,0.88
34,122.36,47.0,Anual,Débito Automático,3.496,47.0,9.7,1,0.2773,0.2131,0.94
26,462.84,18.0,Bianual,Débito Automático,17.1422,18.0,12.8,0,0.2101,0.9227,0.36
89,431.31,26.0,Mensual,Tarjeta de Crédito,4.7923,39.0,54.5,0,0.7395,0.857,0.52
113,377.49,47.0,Mensual,Tarjeta de Crédito,3.3113,70.5,65.0,0,0.9412,0.7448,0.94
12,291.5,0.0,Mensual,Débito Automático,22.4231,0.0,8.4,0,0.0924,0.5656,0.0
46,277.25,24.0,Mensual,Débito Automático,5.8989,36.0,25.0,1,0.3782,0.5359,0.48
87,226.11,1.0,Mensual,Débito Automático,2.5694,1.5,60.6,1,0.7227,0.4293,0.02
111,263.9,37.0,Anual,Pago Manual,2.3562,37.0,66.6,0,0.9244,0.5081,0.74
23,351.07,25.0,Anual,Débito Automático,14.6279,43.0,3.2,1,0.1849,0.6897,0.5
65,170.63,9.0,Mensual,Débito Automático,2.5853,13.5,42.8,0,0.5378,0.3137,0.18
20,124.95,38.0,Anual,Débito Automático,5.95,38.0,2.6,1,0.1597,0.2185,0.76
33,128.41,35.0,Anual,Pago Manual,3.7768,35.0,12.6,1,0.2689,0.2257,0.7
110,115.06,3.0,Mensual,Tarjeta de Crédito,1.0366,4.5,76.1,1,0.916,0.1979,0.06
52,273.34,47.0,Mensual,Tarjeta de Crédito,5.1574,70.5,22.3,0,0.4286,0.5277,0.94
56,112.38,36.0,Mensual,Tarjeta de Crédito,1.9716,54.0,28.4,0,0.4622,0.1923,0.72
47,353.34,16.0,Mensual,Débito Automático,7.3612,24.0,28.1,0,0.3866,0.6945,0.32
59,201.62,24.0,Mensual,Débito Automático,3.3603,36.0,34.1,1,0.4874,0.3783,0.48
119,434.3,47.0,Bianual,Tarjeta de Crédito,3.6192,47.0,69.2,0,0.9916,0.8632,0.94
